id;sentiment;text;;
1;1;ça va bien ?;;
2;0;Contrat : 09-XA7TSL Pourquoi avez vous transmis à  Contentia le dossier de ma mère sans avoir tenu compte de son avis de décès ?;;
3;1;Par exemple un mon abo chez Orange c'est 34,99/mois + le tel (~350€);;
4;0;Sosh là  avec Cloclo tamer.;;
5;0;je ne refuse rien, je vs demande de trouver une solution depuis un moment. C'est @SFR_Groupe ne fourni pas le service que je paie;;
6;1;10 € de remise sur les forfaits de Sosh ! - Consomac.fr ;;
7;0;Oops le #12 lui coûte cher! JUNIOR ORANGE BOWL;;
8;0;bravo pour le professionnalisme du silence, de la non communication, de la non réponse,de la non action pour résoudre le nonréseau;;
9;0;ils ont plus orange ?;;
10;0;Quelqu'un pourrait m'aider?;;
11;0;Bonsoir je suis chez SFR REUNION et je n'ai pas accès à  votre réseau 4G en métropole, pouvez-vous m'aider?;;
12;0;le 1013 ne devait pas me rappeler aujourd'hui à  18h ? Il est 19h20. #sfr #box . Payer pour un service non fonctionnel.;;
13;0;"Bonjour... Oui toujours ""Réseau indisp.""...";;
14;1;Vous avez consommé 2,98Go.;;
15;0;Vous auriez du consommer 8,22Go.;;
16;1;#Freemobile, ouatelsse ?;;
17;0;bonsoir, j'ai un soucis pour le démarrage de la livebox;;
18;1;Sosh avec Claude François;;
19;0;je souhaite résilier internet tv fixe , tout en prolongeant mon abonnement de portable. Vais-je payer pr résilier le reste?;;
20;0;bonsoir, j'ai un soucis pour le redémarrage de la livebox;;
21;0;Bonsoir @bouyguestelecom la TV sur la BBox Miami ne marche pas ce soir chez moi. Est-ce normal?;;
22;0;Kc les couilles SFR;;
23;1;bah peut être il a appelée chez orange pour avoir ton nom et rendre le tel ! Les bureaux d'orange sont la bas;;
24;1;.@nouchema77 @SFR, vous me direz;;
25;0;les problèmes sont revenus. Passage mode avion inefficace. Redémarrage obligé pour récupérer du réseau une fois sur cinq.;;
26;1;Les temps changent Pour tout !;;
27;0;bouyguestelecom Impossible d'appeller depuis le 31, une explication ? A chaque appel : echec de l'appel;;
28;0;besoin d'aide;;
29;0;orange c'est cette société dont le dirigeant dépense 1 milliard contre le FN???? Boycott absolu.....C46;;
30;1;Ne vous inquiétez pas, @SFR et @orange savent ce qu'ils font ^^ #SNCFaujourdhui;;
31;0;Bonjour, je ne comprend pas pourquoi a cet endroit il n'y a pas de réseau Lat : 44,391863, Lon : 6,611575 pourriez-vous demander...;;
32;0;bonjour new client Red depuis 22/12. Suis à l étranger et aucun réseau. Besoin d'aide;;
33;0; ...a vos service de faire quelque chose, car Bouygues donne la 4G et SFR rien ?;;
34;0;La pub Sosh me casse les couilles puissance 100000000000;;
35;1;c'est bon, la ligne s'est activée le mercredi soir (au lieu du jeudi). Merci;;
36;1;Info SFR : Pour vous remercier de votre fidélité, nous vous avons réservé des offres exceptionnelles.;;
37;0;c'est compréhensible ... Depuis le début du débat orange/ rouge, j'ai perdu espoirs xD;;
38;0;"La maison de mes parents est en ""zone blanche"". Ils ne peuvent pas avoir la TV par internet : pas de Orange TV ni de Freebox. Bon...";;
39;0;Sinon je n'arrive tjrs pas à  activer ma wifi sur mon portable, Ca me ruine les ovaires snif. J'vais devoir m'bouger à  SFR pour voir le pb;;
40;0;bjr j'ai un pb d'activation de sim sfr normalement elle devait se faire il y'a 4 jour le 23 decembre dc je me retrouve sans ff;;
41;0;Bonjour @Orange_conseil pourrions nous discuter en privé, je ne tiens pas à  exposer mes problèmes à  la vue de tout le monde;;
42;0;Bon je vais installer iOS 9.2, si ça change rien, je vais chez Orange;;
43;0;Alala la connexion chez Orange;;
44;0;repondez moi en message privé svp;;
45;0;"cher @bouyguestelecom je dis STOP à  la publicité mensongère avec vos ""le plus grand réseau 4G en France"" je capte rien du tout en BRETAGNE";;
46;0;Qui est VRAIMENT passer chez Sosh ?!;;
47;1;bonsoir a orange et vous Twitter Nathalie merci je regarde vite fait les commentaires;;
48;1;J'étais chez SFR pour mon phone;;
49;1;Orange Fab France : l'accélérateur à  taille humaine #Marketing;;
50;0;est ce que vous êtes content de vendre des box où le wifi traverse même pas le plancher ?!;;
51;0;Bonsoir, j'ai une panne d'adsl sur Nogent sur Marne (94) Savez vous s'il y a des travaux dans le coin ? Merci;;
52;0;Merci Vous pouvez enregistrer le numéro cependant je ne vois pas ce qu'est le filtre adsl mais je vais bouger le box merci;;
53;0;on a appelé sfr, la connexion est moins bien depuis;;
54;0;Bjr, j'ai 1 soucis avec 1 ad. mail car perdu mdp ainsi que celui du mail de récup. Et ensuite, n° de portable invalide. Quoi faire?;;
55;0;j'aimerai trop qu'un jour qlq m'envoie un message grave mignon mais je reçois que des msgs d'SFR pour me dire que je suis hors-forfaits...;;
56;0;Par contre je n'ai qu1 prise téléphonique chez moi mais le problème est survenu d'un coup donc je ne pense pas que ce soit la prise;;
57;1;Bonsoir, votre forfait est à  présent sous le paiment de Lou, veuillez revérifier vos contrats, nos sincères blagues, SFR;;
58;0;hey, j'arrive pas à  passer mon offre depuis Orange vers Sosh ! Need help;;
59;0;toutes les chaînes et je n ai pas assez de débit pour le HD;;
60;1;Demain je vais voir chez orange pour mon nouveau téléphone;;
61;1;#RECAP2015 [Février] Partenariat Orange Tunisie / Al Bawsala : Deux entreprises et une vision commune  Lire la suite ;;
62;0;J'vais aller taper ma petite crise chez Orange, ça ira mieux;;
63;0;Bonsoir, mon debit est bridé 608kbps , avant j'etait à  + de 4000kbps.;;
64;1;je pense que vous avez eu bien pire mais désolé si vous l avez mal pris ^-^ je vous laisse résoudre le problème;;
65;0;Bonsoir. Décodeur planté, WiFi Live Box semble Ok mais téléphone out. Et pas de TV Orange. Tout essayé, que puis-je faire?;;
66;0;Serait il possible de m'expliquer pourquoi SFR me prélève de 400euros sans me prévenir?;;
67;1;35€ je crois, c'est un forfait de base chez Sosh;;
68;1;Pour un nouveau Smartphone, Sosh diffuse des forfaits compétitifs;;
69;0;En faite non, c'est pareil qu'avant, quelqu'un peu m'aidé ?;;
70;1;c'est fait merci;;
71;1;Demain j'passe a sfr et a sephora.;;
72;0;plus de portable, faut impérativement que j'aille demain chez Orange;;
73;0;Normal d'avoir sa chaque jours ? C'est très chiant moyen de faire quelque chose ?;;
74;0;je voudrai faire un forfaire Sfr il me demande le numéro Rio mai il me dise invalide pk;;
75;1;bsr, DM envoyé;;
76;0;sur toutes les chaînes et je n ai pas assez de débit pour capter le HD;;
77;0;J'ai bien tapé une crise au Mcdo quand j'étais avec Clem, parce que mon bigmac était tout dur, je peux bien taper une crise chez Orange;;
78;1;On voit le service client efficace dis donc!;;
79;0;Bonjour @bouyguestelecom. Ma connexion est lente... Vous l'aviez débridé mais de nouveau, impossible de se connecter depuis le PC...;;
80;0;Je n'ai plus de réseau ni de 4G depuis 14h cet aprem sur Montpellier. J'ai eteint allumé enlevé batterie sim.. rien. Help!;;
81;1;bonne chance;;
82;1;répondu;;
83;0;résilie d'SFR va voir qui est le propriétaire;;
84;0;serieux vous pouvez pas faire quelque chose ? C'est impossible de jouer la connexion est merdique;;
85;0;Un conseil Orange qui me raccroche à  la figure, Done ! ;;
86;1;Merci #Orange pour votre service de qualité, #Résolutions2016 #JechangedeFAI;;
87;0;euh le n° de ligne ou je le trouve?;;
88;1;#Orange | Les meilleures offres de parrainages sur Internet #internet #filleuls #commerce #sfr #livebox #applewatch;;
